interaction_id,student_id,hostel_id,interaction_type,weight,rating,session_id,timestamp
INT-00001,STU-001,HST-009,view,1,,SESS-STU-001-01,2025-10-14 00:00:00
INT-00002,STU-001,HST-005,view,1,,SESS-STU-001-01,2025-10-14 00:06:00
INT-00003,STU-001,HST-001,view,1,,SESS-STU-001-01,2025-10-14 00:16:00
INT-00004,STU-001,HST-017,view,1,,SESS-STU-001-01,2025-10-14 00:15:00
INT-00005,STU-001,HST-024,view,1,,SESS-STU-001-01,2025-10-14 00:24:00
INT-00006,STU-001,HST-005,save,3,,SESS-STU-001-01,2025-10-14 01:21:00
INT-00007,STU-001,HST-021,view,1,,SESS-STU-001-02,2025-10-20 00:00:00
INT-00008,STU-001,HST-024,view,1,,SESS-STU-001-02,2025-10-20 00:06:00
INT-00009,STU-001,HST-030,view,1,,SESS-STU-001-02,2025-10-20 00:08:00
INT-00010,STU-001,HST-038,view,1,,SESS-STU-001-02,2025-10-20 00:09:00
INT-00011,STU-001,HST-031,view,1,,SESS-STU-001-02,2025-10-20 00:16:00
INT-00012,STU-001,HST-030,save,3,,SESS-STU-001-02,2025-10-20 01:04:00
INT-00013,STU-001,HST-024,save,3,,SESS-STU-001-02,2025-10-20 01:15:00
INT-00014,STU-001,HST-031,save,3,,SESS-STU-001-02,2025-10-20 01:24:00
INT-00015,STU-001,HST-026,view,1,,SESS-STU-001-03,2025-10-06 00:00:00
INT-00016,STU-001,HST-015,view,1,,SESS-STU-001-03,2025-10-06 00:02:00
INT-00017,STU-001,HST-006,view,1,,SESS-STU-001-03,2025-10-06 00:10:00
INT-00018,STU-001,HST-015,save,3,,SESS-STU-001-03,2025-10-06 01:24:00
INT-00019,STU-001,HST-006,save,3,,SESS-STU-001-03,2025-10-06 01:14:00
INT-00020,STU-001,HST-026,save,3,,SESS-STU-001-03,2025-10-06 01:18:00
INT-00021,STU-001,HST-006,booking,5,4.6,SESS-STU-001-BOOK,2026-02-10 00:00:00
INT-00022,STU-002,HST-059,view,1,,SESS-STU-002-01,2025-11-06 00:00:00
INT-00023,STU-002,HST-041,view,1,,SESS-STU-002-01,2025-11-06 00:03:00
INT-00024,STU-002,HST-042,view,1,,SESS-STU-002-01,2025-11-06 00:14:00
INT-00025,STU-002,HST-049,view,1,,SESS-STU-002-01,2025-11-06 00:15:00
INT-00026,STU-002,HST-065,view,1,,SESS-STU-002-01,2025-11-06 00:20:00
INT-00027,STU-002,HST-046,view,1,,SESS-STU-002-01,2025-11-06 00:15:00
INT-00028,STU-002,HST-059,save,3,,SESS-STU-002-01,2025-11-06 01:22:00
INT-00029,STU-002,HST-055,view,1,,SESS-STU-002-02,2025-12-26 00:00:00
INT-00030,STU-002,HST-041,view,1,,SESS-STU-002-02,2025-12-26 00:06:00
INT-00031,STU-002,HST-054,view,1,,SESS-STU-002-02,2025-12-26 00:16:00
INT-00032,STU-002,HST-047,view,1,,SESS-STU-002-02,2025-12-26 00:27:00
INT-00033,STU-002,HST-060,view,1,,SESS-STU-002-02,2025-12-26 00:32:00
INT-00034,STU-002,HST-054,save,3,,SESS-STU-002-02,2025-12-26 01:19:00
INT-00035,STU-002,HST-041,save,3,,SESS-STU-002-02,2025-12-26 01:20:00
INT-00036,STU-002,HST-060,save,3,,SESS-STU-002-02,2025-12-26 01:14:00
INT-00037,STU-002,HST-041,booking_attempt,4,,SESS-STU-002-BOOK,2026-02-11 00:00:00
INT-00038,STU-002,HST-060,booking,5,4.9,SESS-STU-002-BOOK,2026-02-21 00:00:00
INT-00039,STU-003,HST-023,view,1,,SESS-STU-003-01,2025-10-24 00:00:00
INT-00040,STU-003,HST-038,view,1,,SESS-STU-003-01,2025-10-24 00:03:00
INT-00041,STU-003,HST-035,view,1,,SESS-STU-003-01,2025-10-24 00:12:00
INT-00042,STU-003,HST-020,view,1,,SESS-STU-003-01,2025-10-24 00:06:00
INT-00043,STU-003,HST-026,view,1,,SESS-STU-003-01,2025-10-24 00:28:00
INT-00044,STU-003,HST-029,view,1,,SESS-STU-003-01,2025-10-24 00:30:00
INT-00045,STU-003,HST-003,view,1,,SESS-STU-003-01,2025-10-24 00:48:00
INT-00046,STU-003,HST-005,view,1,,SESS-STU-003-01,2025-10-24 00:14:00
INT-00047,STU-003,HST-023,save,3,,SESS-STU-003-01,2025-10-24 01:13:00
INT-00048,STU-003,HST-019,view,1,,SESS-STU-003-02,2025-12-03 00:00:00
INT-00049,STU-003,HST-027,view,1,,SESS-STU-003-02,2025-12-03 00:02:00
INT-00050,STU-003,HST-022,view,1,,SESS-STU-003-02,2025-12-03 00:16:00
INT-00051,STU-003,HST-034,view,1,,SESS-STU-003-02,2025-12-03 00:15:00
INT-00052,STU-003,HST-002,view,1,,SESS-STU-003-02,2025-12-03 00:36:00
INT-00053,STU-003,HST-004,view,1,,SESS-STU-003-02,2025-12-03 00:45:00
INT-00054,STU-003,HST-035,view,1,,SESS-STU-003-02,2025-12-03 00:30:00
INT-00055,STU-003,HST-006,view,1,,SESS-STU-003-02,2025-12-03 00:49:00
INT-00056,STU-003,HST-025,view,1,,SESS-STU-003-02,2025-12-03 00:24:00
INT-00057,STU-003,HST-004,save,3,,SESS-STU-003-02,2025-12-03 01:13:00
INT-00058,STU-003,HST-027,save,3,,SESS-STU-003-02,2025-12-03 01:00:00
INT-00059,STU-003,HST-002,save,3,,SESS-STU-003-02,2025-12-03 01:22:00
INT-00060,STU-003,HST-019,view,1,,SESS-STU-003-03,2025-09-21 00:00:00
INT-00061,STU-003,HST-035,view,1,,SESS-STU-003-03,2025-09-21 00:07:00
INT-00062,STU-003,HST-024,view,1,,SESS-STU-003-03,2025-09-21 00:04:00
INT-00063,STU-003,HST-007,view,1,,SESS-STU-003-03,2025-09-21 00:24:00
INT-00064,STU-003,HST-021,view,1,,SESS-STU-003-03,2025-09-21 00:28:00
INT-00065,STU-003,HST-034,view,1,,SESS-STU-003-03,2025-09-21 00:25:00
INT-00066,STU-003,HST-015,view,1,,SESS-STU-003-03,2025-09-21 00:24:00
INT-00067,STU-003,HST-025,view,1,,SESS-STU-003-03,2025-09-21 00:35:00
