student_id,gender,department,year,latitude,longitude,budget_min,budget_max,price_sensitivity,max_distance_km,needs_transport,preferred_type,preferred_room_type,food_preference,study_preference,social_preference,comfort_preference,noise_tolerance,curfew_flexibility,must_have_amenities,priority_wifi,priority_gym,priority_study_room,priority_cafeteria,priority_laundry,priority_ac,priority_hot_water,priority_generator,ethnicity,home_city,languages,university,degree,smoking_pref,cleanliness_level,sleep_schedule,guest_policy,sharing_pref,personality,study_habits,job_title,company,priority_parking,priority_security_guard,priority_prayer_room,work_schedule,work_from_home,years_experience,is_professional,resident_type
STU-001,Female,Computer Science,2,33.726495,73.043748,13933,37358,0.94,3.7,1,Girls,Dormitory,Veg,0.54,0.46,0.75,0.72,0.83,"[""Water Cooler"", ""Hot Water"", ""AC""]",0,0.0,0.0,0.0,0,1,1,0,Sindhi,Karachi,"Urdu, English, Sindhi",FAST NUCES,Computer Science,Non-smoker,2,Early bird,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-002,Male,Software Engineering,1,33.643238,72.989876,10059,27415,0.86,0.6,0,Boys,Double,Non-Veg,0.92,0.08,0.68,0.84,0.86,"[""Laundry"", ""Refrigerator"", ""Library"", ""CCTV""]",0,0.0,0.0,0.0,1,0,0,0,Punjabi,Faisalabad,"Urdu, English, Punjabi",FAST NUCES,Software Engineering,Non-smoker,5,Early bird,No guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-003,Female,Electrical Engineering,4,33.678992,73.040251,11968,36125,0.31,2.4,0,Girls,Double,Non-Veg,0.46,0.54,0.17,0.24,0.27,"[""Microwave""]",0,0.0,0.0,0.0,0,0,0,0,Gilgiti,Gilgit,"Urdu, English, Shina, Burushaski",FAST NUCES,Electrical Engineering,Non-smoker,4,Early bird,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-004,Male,BBA,3,33.646918,72.996729,8453,17960,0.77,4.2,1,Boys,Dormitory,Non-Veg,0.99,0.01,0.95,0.78,0.61,"[""Iron"", ""Study Room"", ""AC""]",0,0.0,1.0,0.0,0,1,0,0,Punjabi,Multan,"Urdu, English, Punjabi, Saraiki",FAST NUCES,BBA,Smoker,5,Early bird,Occasional guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-005,Female,Computer Science,4,33.6746,73.052369,13442,36614,0.02,3.2,0,Girls,Double,Non-Veg,0.89,0.11,0.28,0.21,0.04,"[""Study Room"", ""Parking"", ""Hot Water"", ""Rooftop Access""]",0,0.0,1.0,0.0,0,0,1,0,Pathan,Kohat,"Urdu, English, Pashto",FAST NUCES,Computer Science,Smoker,4,Early bird,Occasional guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-006,Male,Data Science,3,33.720267,73.057684,11328,22319,0.05,6.8,1,Boys,Single,Non-Veg,0.07,0.93,0.58,0.43,0.55,"[""Cafeteria"", ""Water Cooler"", ""AC"", ""Microwave""]",0,0.0,0.0,1.0,0,1,0,0,Punjabi,Faisalabad,"Urdu, English, Punjabi",IIUI,Data Science,Smoker,2,Night owl,No guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-007,Male,Software Engineering,4,33.722798,73.087,7854,24431,0.72,5.4,1,Boys,Double,Non-Veg,0.01,0.99,0.75,0.56,0.58,"[""AC"", ""Security Guard"", ""Laundry"", ""Generator""]",0,0.0,0.0,0.0,1,1,0,1,Gilgiti,Skardu,"Urdu, English, Shina, Burushaski",FAST NUCES,Software Engineering,Non-smoker,2,Night owl,Occasional guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-008,Male,Social Sciences,1,33.641381,73.001581,5370,11227,0.43,3.4,0,Boys,Double,Non-Veg,0.96,0.04,0.03,0.26,0.03,"[""Gym"", ""Common Room""]",0,1.0,0.0,0.0,0,0,0,0,Sindhi,Hyderabad,"Urdu, English, Sindhi",FAST NUCES,Social Sciences,Don't mind,3,Early bird,Occasional guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-009,Female,BBA,1,33.727762,73.044406,10710,25442,0.47,4.6,1,Girls,Double,Both,0.86,0.14,0.57,0.3,0.32,"[""Hot Water""]",0,0.0,0.0,0.0,0,0,1,0,Gilgiti,Skardu,"Urdu, English, Shina, Burushaski",Air University,BBA,Non-smoker,2,Early bird,No guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-010,Female,Civil Engineering,3,33.710288,73.053187,7964,17558,0.58,3.1,0,Girls,Single,Veg,0.01,0.99,0.57,0.87,0.38,"[""WiFi"", ""Parking""]",1,0.0,0.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",FAST NUCES,Civil Engineering,Smoker,5,Night owl,No guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
